"+warn.equipmentInfo[parameters[0]] +"

[Header] 2020-05-18 10:04:16,774 [1] INFO  testApp.Logging [(null)]  - 2020-05-18 10:04:16_start sbcdsc thread_c1
2020-05-18 10:08:18,487 [11] INFO  testApp.Logging [(null)]  - 1=35
2020-05-18 10:08:18,487 [11] INFO  testApp.Logging [(null)]  - 40001=75
2020-05-18 10:08:18,487 [11] INFO  testApp.Logging [(null)]  - 50001=45
2020-05-18 10:08:18,488 [11] INFO  testApp.Logging [(null)]  - 40001=40
2020-05-18 10:08:18,488 [11] INFO  testApp.Logging [(null)]  - 50001=30
[Footer] [Header] 2020-06-03 10:31:21,055 [1] INFO  testApp.Logging [(null)]  - 363093_70001.MAX=80
2020-06-03 10:31:21,070 [1] INFO  testApp.Logging [(null)]  - 363041_70001.MAX=80
2020-06-03 10:31:21,070 [1] INFO  testApp.Logging [(null)]  - 363093_70001.MIN=40
2020-06-03 10:31:21,070 [1] INFO  testApp.Logging [(null)]  - 363041_70001.MIN=40
2020-06-03 10:31:21,071 [1] INFO  testApp.Logging [(null)]  - 1.TYPE=9cc6e9fdd23344009101e0465ea10e5a
2020-06-03 10:31:21,071 [1] INFO  testApp.Logging [(null)]  - 10010.TYPE=9cc6e9fdd23344009101e0465ea10e5a
2020-06-03 10:31:21,071 [1] INFO  testApp.Logging [(null)]  - 10012.TYPE=ad64b827d326426b97035e64996d0aa2
2020-06-03 10:31:21,071 [1] INFO  testApp.Logging [(null)]  - 70001.TYPE=test
2020-06-03 10:31:21,071 [1] INFO  testApp.Logging [(null)]  - 343001.NAME=三部1号球磨机
2020-06-03 10:31:21,074 [1] INFO  testApp.Logging [(null)]  - 343002.NAME=三部2号球磨机
2020-06-03 10:31:21,074 [1] INFO  testApp.Logging [(null)]  - 343003.NAME=三部3号球磨机
2020-06-03 10:31:21,074 [1] INFO  testApp.Logging [(null)]  - 343004.NAME=三部4号球磨机
2020-06-03 10:31:21,074 [1] INFO  testApp.Logging [(null)]  - 343005.NAME=三部5号球磨机
2020-06-03 10:31:21,074 [1] INFO  testApp.Logging [(null)]  - 343006.NAME=三部6号球磨机
2020-06-03 10:31:21,075 [1] INFO  testApp.Logging [(null)]  - 352001.NAME=二部合膏负1号线
2020-06-03 10:31:21,075 [1] INFO  testApp.Logging [(null)]  - 352002.NAME=二部合膏负2号线
2020-06-03 10:31:21,075 [1] INFO  testApp.Logging [(null)]  - 352101.NAME=二部合膏正1号线
2020-06-03 10:31:21,076 [1] INFO  testApp.Logging [(null)]  - 352102.NAME=二部合膏正2号线
2020-06-03 10:31:21,076 [1] INFO  testApp.Logging [(null)]  - 352103.NAME=二部合膏正3号线
2020-06-03 10:31:21,076 [1] INFO  testApp.Logging [(null)]  - 352104.NAME=二部合膏正4号线
2020-06-03 10:31:21,076 [1] INFO  testApp.Logging [(null)]  - 352105.NAME=二部合膏正5号线
2020-06-03 10:31:21,077 [1] INFO  testApp.Logging [(null)]  - 352106.NAME=二部合膏正6号线
2020-06-03 10:31:21,077 [1] INFO  testApp.Logging [(null)]  - 353001.NAME=三部合膏负1号线
2020-06-03 10:31:21,077 [1] INFO  testApp.Logging [(null)]  - 353002.NAME=三部合膏负2号线
2020-06-03 10:31:21,077 [1] INFO  testApp.Logging [(null)]  - 353003.NAME=三部合膏负3号线
2020-06-03 10:31:21,077 [1] INFO  testApp.Logging [(null)]  - 353101.NAME=三部合膏正1号线
2020-06-03 10:31:21,077 [1] INFO  testApp.Logging [(null)]  - 353102.NAME=三部合膏正2号线
2020-06-03 10:31:21,078 [1] INFO  testApp.Logging [(null)]  - 353103.NAME=三部合膏正3号线
2020-06-03 10:31:21,078 [1] INFO  testApp.Logging [(null)]  - 361001.NAME=一部固化0_1
2020-06-03 10:31:21,078 [1] INFO  testApp.Logging [(null)]  - 361002.NAME=一部固化0_2
2020-06-03 10:31:21,078 [1] INFO  testApp.Logging [(null)]  - 361003.NAME=一部固化0_3
2020-06-03 10:31:21,078 [1] INFO  testApp.Logging [(null)]  - 361011.NAME=一部固化1_1
2020-06-03 10:31:21,078 [1] INFO  testApp.Logging [(null)]  - 361012.NAME=一部固化1_2
2020-06-03 10:31:21,079 [1] INFO  testApp.Logging [(null)]  - 361013.NAME=一部固化1_3
2020-06-03 10:31:21,079 [1] INFO  testApp.Logging [(null)]  - 361021.NAME=一部固化2_1
2020-06-03 10:31:21,079 [1] INFO  testApp.Logging [(null)]  - 361022.NAME=一部固化2_2
2020-06-03 10:31:21,079 [1] INFO  testApp.Logging [(null)]  - 361023.NAME=一部固化2_3
2020-06-03 10:31:21,079 [1] INFO  testApp.Logging [(null)]  - 361031.NAME=一部固化3_1
2020-06-03 10:31:21,079 [1] INFO  testApp.Logging [(null)]  - 361032.NAME=一部固化3_2
2020-06-03 10:31:21,080 [1] INFO  testApp.Logging [(null)]  - 361033.NAME=一部固化3_3
2020-06-03 10:31:21,080 [1] INFO  testApp.Logging [(null)]  - 361041.NAME=一部固化4_1
2020-06-03 10:31:21,080 [1] INFO  testApp.Logging [(null)]  - 361042.NAME=一部固化4_2
2020-06-03 10:31:21,080 [1] INFO  testApp.Logging [(null)]  - 361043.NAME=一部固化4_3
2020-06-03 10:31:21,080 [1] INFO  testApp.Logging [(null)]  - 362011.NAME=二部固化室01_1
2020-06-03 10:31:21,080 [1] INFO  testApp.Logging [(null)]  - 362012.NAME=二部固化室01_2
2020-06-03 10:31:21,081 [1] INFO  testApp.Logging [(null)]  - 362013.NAME=二部固化室01_3
2020-06-03 10:31:21,081 [1] INFO  testApp.Logging [(null)]  - 362021.NAME=二部固化室02_1
2020-06-03 10:31:21,081 [1] INFO  testApp.Logging [(null)]  - 362022.NAME=二部固化室02_2
2020-06-03 10:31:21,081 [1] INFO  testApp.Logging [(null)]  - 362023.NAME=二部固化室02_3
2020-06-03 10:31:21,081 [1] INFO  testApp.Logging [(null)]  - 362031.NAME=二部固化室03_1
2020-06-03 10:31:21,081 [1] INFO  testApp.Logging [(null)]  - 362032.NAME=二部固化室03_2
2020-06-03 10:31:21,081 [1] INFO  testApp.Logging [(null)]  - 362033.NAME=二部固化室03_3
2020-06-03 10:31:21,082 [1] INFO  testApp.Logging [(null)]  - 362041.NAME=二部固化室04_1
2020-06-03 10:31:21,082 [1] INFO  testApp.Logging [(null)]  - 362042.NAME=二部固化室04_2
2020-06-03 10:31:21,082 [1] INFO  testApp.Logging [(null)]  - 362043.NAME=二部固化室04_3
2020-06-03 10:31:21,082 [1] INFO  testApp.Logging [(null)]  - 362051.NAME=二部固化室05_1
2020-06-03 10:31:21,082 [1] INFO  testApp.Logging [(null)]  - 362052.NAME=二部固化室05_2
2020-06-03 10:31:21,082 [1] INFO  testApp.Logging [(null)]  - 362053.NAME=二部固化室05_3
2020-06-03 10:31:21,082 [1] INFO  testApp.Logging [(null)]  - 362061.NAME=二部固化室06_1
2020-06-03 10:31:21,083 [1] INFO  testApp.Logging [(null)]  - 362062.NAME=二部固化室06_2
2020-06-03 10:31:21,083 [1] INFO  testApp.Logging [(null)]  - 362063.NAME=二部固化室06_3
2020-06-03 10:31:21,083 [1] INFO  testApp.Logging [(null)]  - 362071.NAME=二部固化室07_1
2020-06-03 10:31:21,083 [1] INFO  testApp.Logging [(null)]  - 362072.NAME=二部固化室07_2
2020-06-03 10:31:21,083 [1] INFO  testApp.Logging [(null)]  - 362073.NAME=二部固化室07_3
2020-06-03 10:31:21,083 [1] INFO  testApp.Logging [(null)]  - 362081.NAME=二部固化室08_1
2020-06-03 10:31:21,083 [1] INFO  testApp.Logging [(null)]  - 362082.NAME=二部固化室08_2
2020-06-03 10:31:21,084 [1] INFO  testApp.Logging [(null)]  - 362083.NAME=二部固化室08_3
2020-06-03 10:31:21,084 [1] INFO  testApp.Logging [(null)]  - 362091.NAME=二部固化室09_1
2020-06-03 10:31:21,084 [1] INFO  testApp.Logging [(null)]  - 362092.NAME=二部固化室09_2
